last_name, first_name,player_id,year,meatball_swing_percent,meatball_percent,
Misiewicz, Anthony,664948,2022,79.3,6.2,
Kelley, Trevor,665001,2022,80.8,5.7,
Clemens, Kody,665019,2022,100,8,
Kremer, Dean,665152,2022,77.8,8.6,
Garcia, Rony,665621,2022,86.6,7.6,
Peguero, Elvis,665625,2022,90,6.5,
Castro, Kervin,665645,2022,76.5,7.1,
Sanmartin, Reiver,665665,2022,70.7,5.6,
Cabrera, Edward,665795,2022,64.5,5.1,
Assad, Javier,665871,2022,62.8,6.2,
Marte, Jose,665896,2022,78.6,5.3,
Anderson, Ian,666120,2022,80.5,6.4,
Garrett, Braxton,666129,2022,68,7.2,
Ragans, Cole,666142,2022,86.8,7.5,
Lodolo, Nick,666157,2022,69.1,8.3,
Manning, Matt,666159,2022,71.6,8.2,
Thompson, Mason,666168,2022,67.7,8.4,
Luzardo, Jesus,666200,2022,73,7,
Manoah, Alek,666201,2022,80,8.3,
Jimenez, Dany,666204,2022,60.9,8.5,
Muller, Kyle,666205,2022,81.8,9.4,
